Kommun,County,Part,Coastal,Vehicles,Builton,Children,Seniors,Higheds,Income,GRP,PM10
2513 Överkalix,25 Norrbottens län,3,0,1509.9,971,11.8,35.5,9.2,268.5,303,7.6
2514 Kalix,25 Norrbottens län,3,1,1302.6,297,14,29.5,11.9,283.4,361,16.1
2518 Övertorneå,25 Norrbottens län,3,0,1399.5,710,12.1,37.2,10.8,275.4,272,6.9
2521 Pajala,25 Norrbottens län,3,0,1646.4,1107,14.1,35.4,8.5,286,647,7.7
2523 Gällivare,25 Norrbottens län,3,0,1531.4,813,15.2,25.8,10.5,337.1,1504,33.8
2560 Älvsbyn,25 Norrbottens län,3,0,1523.3,367,15.2,26.5,9.2,281.3,326,5.2
2580 Luleå,25 Norrbottens län,3,1,973.6,113,15.5,21.2,20.5,293.3,554,5.3
2581 Piteå,25 Norrbottens län,3,1,1288.2,196,16,24.2,14.3,297.8,475,7.4
2582 Boden,25 Norrbottens län,3,0,1220.7,235,15,25.5,15.9,286.2,339,3.9
2583 Haparanda,25 Norrbottens län,3,1,1054.3,311,15.3,30.9,9.5,268.1,287,4.8
2584 Kiruna,25 Norrbottens län,3,0,1556.1,465,16.1,21.7,12.1,327.6,1608,22.6
